pepper,whole wheat pasta,,,
pet food,energy bar,shallot,pepper,fresh tuna
low fat yogurt,soup,shampoo,pet food,oil
extra dark chocolate,,,,
oil,chicken,eggs,mineral water,milk
shampoo,,,,
pet food,pasta,green grapes,,
grated cheese,toothpaste,cooking oil,chicken,
energy drink,oil,,,
fresh tuna,extra dark chocolate,chutney,grated cheese,cooking oil
body spray,,,,
shampoo,oil,body spray,chicken,
cooking oil,black tea,,,
pancakes,shrimp,black tea,green grapes,white wine
shrimp,grated cheese,green tea,,
burgers,shallot,whole wheat pasta,mineral water,
energy bar,,,,
cookies,,,,
grated cheese,burgers,cookies,,
chicken,toothpaste,low fat yogurt,burgers,
